Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Boston Celtics*,28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,,Celtics,,,, Nets,,,,Raptors,,,,76ers,,,,Knicks,,,,Bulls,,,,Cavaliers,,,,Pistons,,,,Pacers,,,,Bucks,,,,Wizards,,,,Hawks,,,,Magic,,,,Heat,,,,Hornets,,,,Timberwolves,,,,Thunder,,,,Nuggets,,,,Trail Blazers,,,,Jazz,,,,Lakers,,,,,,,,Warriors,,,,Suns,,,,Kings,,,,Grizzlies,,,,Pelicans,,,,Rockets,,,,Spurs,,,,Mavericks,,
12,Milwaukee Bucks*,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,,10,Oshae Brissett,2165000.00,,10.00,Keita Bates-Diop,2346614.00,,10.00,Jalen McDaniels,4516000.00,,10.00,Jeff Dowtin,2196970.00,,10.00,Precious Achiuwa,4379527.00,,10.00,Derrick Jones,3360000.00,,10.00,Ricky Rubio,3695311.00,,10.00,Shake Milton,5000000.00,,10.00,Aaron Nesmith,5634257.00,,10.00,Jae Crowder,2019706.00,,10,Johnny Davis,5050800.00,,10.00,AJ Griffin,3712920.00,,10,Cole Anthony,5539771.00,,10,Thomas Bryant,2528233.00,,10,Thomas Bryant,2528233.00,,10,Wendell Moore,2421720.00,,10,Aleksej Pokusevski,5009633.00,,10,Peyton Watson,2303520.00,,10,Andrew Nicholson,2844430.00,,10,Walker Kessler,2831160.00,,10,Christian Wood,2709849.00,,10,Amir Coffey,3666667.00,,10,Brandin Podziemski,3352440.00,,10,Keon Johnson,2808720.00,,10,Chris Duarte,4124400.00,,10,Jake LaRavia,3199920.00,,10,Cody Zeller,2019706.00,,10,Jae'Sean Tate,6500000.00,,10,Cameron Payne,6500000.00,,10,Dante Exum,3000000.00
13,Cleveland Cavaliers*,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,,11,Svi Mykhailiuk,2019706.00,,11.00,Cam Thomas,2240160.00,,11.00,Immanuel Quickley,4171548.00,,11.00,Mohamed Bamba,2019706.00,,11.00,Dylan Windler,2019706.00,,11.00,Andre Drummond,3360000.00,,11.00,Damian Jones,2586665.00,,11.00,Jalen Duren,4330680.00,,11.00,Furkan Korkmaz,5370370.00,,11.00,Patrick Beverley,2019706.00,,11,Corey Kispert,3722040.00,,11.00,Jalen Johnson,2925360.00,,11,Franz Wagner,5508720.00,,11,Nikola Jović,2352000.00,,11,Nikola Jović,2352000.00,,11,Jordan McLaughlin,2320000.00,,11,Ousmane Dieng,4798440.00,,11,Vlatko Čančar,2234359.00,,11,Dalano Banton,2019706.00,,11,Omer Yurtseven,2800000.00,,11,Jaxson Hayes,2165000.00,,11,Kobe Brown,2413320.00,,11,Dario Šarić,2019706.00,,11,David Roddy,2718240.00,,11,Robin Lopez,2019706.00,,11,Derrick Rose,3196448.00,,11,Naji Marshall,1930681.00,,11,Alperen Sengun,3536280.00,,11,Devin Vassell,5887899.00,,11,Olivier-Maxence Prosper,2733720.00
14,Dallas Mavericks*,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,,12,Xavier Tillman,1930681.00,,12.00,Day'Ron Sharpe,2210040.00,,12.00,Ochai Agbaji,4114200.00,,12.00,Montrezl Harrell,2019706.00,,12.00,Jericho Sims,1927896.00,,12.00,Dalen Terry,3350760.00,,12.00,Ty Jerome,2439025.00,,12.00,Danuel House,4310250.00,,12.00,Jalen Smith,5043773.00,,12.00,A.J. Green,1901769.00,,12,Tristan Vukcevic,2424892.00,,12.00,Bruno Fernando,2581522.00,,12,Chuma Okeke,5266713.00,,12,Haywood Highsmith,1902137.00,,12,Haywood Highsmith,1902137.00,,12,Leonard Miller,1800000.00,,12,Jalen Williams,4558680.00,,12,DeAndre Jordan,2019706.00,,12,Moses Brown,2019706.00,,12,Kris Dunn,2586665.00,,12,Cam Reddish,2165000.00,,12,Bones Hyland,2306400.00,,12,Trayce Jackson-Davis,1119563.00,,12,Damion Lee,2528233.00,,12,JaVale McGee,2019706.00,,12,Josh Christopher,2485200.00,,12,Jose Alvarado,1836096.00,,12,Tari Eason,3527160.00,,12,Jeremy Sochan,5316960.00,,12,JaVale McGee,2348324.00
15,Orlando Magic*,24,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,,13,Sam Hauser,1927896.00,,13.00,Dennis Smith,2019706.00,,13.00,Jordan Nwora,3000000.00,,13.00,Cameron Payne,2019706.00,,13.00,Miles McBride,1836096.00,,13.00,Torrey Craig,2528233.00,,13.00,Tristan Thompson,2019706.00,,13.00,Troy Brown,4000000.00,,13.00,Isaiah Jackson,2696280.00,,13.00,Chris Livingston,1119563.00,,13,Patrick Baldwin,2337720.00,,13.00,Wesley Matthews,2019706.00,,13,Jett Howard,5026800.00,,13,Dru Smith,1801769.00,,13,Dru Smith,1801769.00,,13,Josh Minott,1719864.00,,13,Usman Garuba,2588400.00,,13,Justin Holiday,2019706.00,,13,Duop Reath,1951220.00,,13,Brice Sensabaugh,2448600.00,,13,Max Christie,1719864.00,,13,Brandon Boston,1836096.00,,13,Gui Santos,1029483.00,,13,Drew Eubanks,2346614.00,,13,Alex Len,2019706.00,,13,John Konchar,2400000.00,,13,E.J. Liddell,1801769.00,,13,Cam Whitmore,3218160.00,,13,Joshua Primo,4341600.00,,13,Derrick Jones,2019706.00
16,Miami Heat*,28,46,36,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,,14,Jordan Walsh,1119563.00,,14.00,Harry Giles,2019706.00,,14.00,Garrett Temple,2019706.00,,14.00,Kelly Oubre,2019706.00,,14.00,DaQuan Jeffries,831385.00,,14.00,Terry Taylor,2019706.00,,14.00,Sam Merrill,1997238.00,,14.00,Malachi Flynn,3873025.00,,14.00,Ben Sheppard,2537160.00,,14.00,Andre Jackson,1119563.00,,14,Taj Gibson,2019706.00,,14.00,Garrison Mathews,2000000.00,,14,Goga Bitadze,2066585.00,,14,Orlando Robinson,1801769.00,,14,Orlando Robinson,1801769.00,,14,T.J. Warren,220543.00,,14,TyTy Washington,2320440.00,,14,Jalen Pickett,1708143.00,,14,Ish Wainright,1927896.00,,14,Luka Šamanić,2066585.00,,14,Spencer Dinwiddie,1554654.00,,14,Joshua Primo,1764341.00,,14,Lester Quinones,548815.00,,14,Bol Bol,2019706.00,,14,Colby Jones,2019706.00,,14,Yuta Watanabe,2346614.00,,14,Matt Ryan,1500000.00,,14,Aaron Holiday,2019706.00,,14,Malaki Branham,3071880.00,,14,Markieff Morris,2019706.00
17,Sacramento Kings,26.4,46,36,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,,15,Demetrius Jackson,92857.00,,15.00,Trendon Watford,2019706.00,,15.00,Christian Koloko,1719864.00,,15.00,KJ Martin,1930681.00,,15.00,Taj Gibson,477630.00,,15.00,Julian Phillips,1600000.00,,15.00,Craig Porter,1500000.00,,15.00,Mike Muscala,3500000.00,,15.00,James Johnson,2241188.00,,15.00,Danilo Gallinari,661628.00,,15,Anthony Gill,1997238.00,,15.00,Mouhamed Gueye,1119563.00,,15,Caleb Houstan,2000000.00,,15,Delon Wright,661628.00,,15,Delon Wright,661628.00,,15,Luka Garza,127683.00,,15,Jaylin Williams,2000000.00,,15,Hunter Tyson,1119563.00,,15,Skylar Mays,1799163.00,,15,Kevin Knox,1845593.00,,15,Maxwell Lewis,1119563.00,,15,Daniel Theis,1741126.00,,15,Usman Garuba,11608.00,,15,Thaddeus Young,638413.00,,15,Kessler Edwards,1927896.00,,15,Vince Williams,2232308.00,,15,Jeremiah Robinson-Earl,684843.00,,15,Boban Marjanović,2019706.00,,15,Julian Champagnie,3000000.00,,15,Jaden Hardy,1719864.00
18,Houston Rockets,25.1,41,41,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,,16,Neemias Queta,81253.00,,16.00,Lonnie Walker,2019706.00,,16.00,Javon Freeman-Liberty,289542.00,,16.00,Ricky Council,864353.00,,16.00,Shake Milton,475908.00,,16.00,Onuralp Bitim,500000.00,,16.00,Marcus Morris,197328.00,,16.00,Simone Fontecchio,3044872.00,,16.00,Andrew Nembhard,2131905.00,,16.00,TyTy Washington,,,16,Isaiah Livers,1836096.00,,16.00,Jarkel Joiner,1119563.00,,16,Admiral Schofield,,,16,Patty Mills,464300.00,,16,Patty Mills,464300.00,,16,Justin Jackson,116075.00,,16,Isaiah Joe,1997238.00,,16,Braxton Key,,,16,Jabari Walker,1719864.00,,16,Kenneth Lofton,500000.00,,16,Colin Castleton,,,16,Kai Jones,11608.00,,16,Lester Quinones,,,16,Isaiah Thomas,116075.00,,16,Keon Ellis,683430.00,,16,Santi Aldama,2194200.00,,16,Malcolm Hill,116075.00,,16,Reggie Bullock,2019706.00,,16,Charles Bassey,2600000.00,,16,A.J. Lawson,1000000.00
19,Los Angeles Lakers*,28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,,17,JD Davison,,,17.00,Jordan Goodwin,1927896.00,,17.00,Kobi Simmons,116075.00,,17.00,Danny Green,200000.00,,17.00,DaQuan Jeffries,261293.00,,17.00,Javonte Green,127683.00,,17.00,Zhaire Smith,139290.00,,17.00,Dewayne Dedmon,2748674.00,,17.00,Cory Joseph,2019706.00,,17.00,Marques Bolden,,,17,Xavier Cooks,1719864.00,,17.00,Trent Forrest,533945.00,,17,Trevelin Queen,,,17,Jamaree Bouyea,,,17,Jamaree Bouyea,,,17,T.J. Warren,116075.00,,17,Aaron Wiggins,1836096.00,,17,Jay Huff,,,17,Eric Bledsoe,1300000.00,,17,Darius Bazley,500000.00,,17,D'Moi Hodge,,,17,Moussa Diabaté,,,17,Usman Garuba,,,17,Isaiah Thomas,116075.00,,17,Filip Petrušev,559782.00,,17,Chimezie Metu,2019706.00,,17,Jalen Crutcher,64343.00,,17,Jeremiah Robinson-Earl,1900000.00,,17,Blake Wesley,2504640.00,,17,Mike Miles,
20,Chicago Bulls,28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,,18,Jay Scrubb,,,18.00,Jalen Wilson,850000.00,,18.00,Jahmi'us Ramsey,116075.00,,18.00,Jeff Dowtin,127683.00,,18.00,Mamadi Diakite,252525.00,,18.00,Javonte Green,116075.00,,18.00,Marcus Morris,116075.00,,18.00,Marcus Sasser,2624040.00,,18.00,Kendall Brown,1100000.00,,18.00,Lindell Wigginton,,,18,Ryan Rollins,1719864.00,,18.00,Miles Norris,,,18,,,,18,Jamal Cain,,,18,Jamal Cain,,,18,T.J. Warren,116075.00,,18,Lindy Waters,766095.00,,18,Collin Gillespie,,,18,Rayan Rupert,1119563.00,,18,Taevion Kinsey,64343.00,,18,Alex Fudge,,,18,Jordan Miller,,,18,Jerome Robinson,,,18,Isaiah Thomas,69645.00,,18,Juan Toscano-Anderson,323506.00,,18,Lamar Stevens,2019706.00,,18,Izaiah Brockington,64343.00,,18,Darius Days,,,18,Sandro Mamukelashvili,2019706.00,,18,Greg Brown,
21,Atlanta Hawks,26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,,19,Neemias Queta,,,19.00,Armoni Brooks,,,19.00,Justise Winslow,116075.00,,19.00,Darius Bazley,116075.00,,19.00,Taj Gibson,183704.00,,19.00,Justin Lewis,,,19.00,Sharife Cooper,103550.00,,19.00,Quentin Grimes,2385720.00,,19.00,James Johnson,777703.00,,19.00,Ryan Rollins,,,19,Jared Butler,1250000.00,,19.00,Seth Lundy,,,,,,,19,Cole Swider,,,19,Cole Swider,,,19,Luka Garza,,,19,Bismack Biyombo,754488.00,,,,,,19,Toumani Camara,1119563.00,,19,Joey Hauser,,,19,Dylan Windler,,,19,Joshua Primo,,,19,Pat Spencer,,,19,Saben Lee,,,19,Nerlens Noel,300000.00,,19,Gregory Jackson,1991428.00,,19,Kaiser Gates,,,19,Trevor Hudgins,,,19,Sidy Cissoko,1119563.00,,19,Dexter Dennis,
