Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,
21,Atlanta Hawks,26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,,19,Neemias Queta,,,19,Armoni Brooks,,,19,Justise Winslow,"$116,075 ",,19,Darius Bazley,"$116,075 ",,19,Taj Gibson,"$183,704 ",,19,Justin Lewis,,,19,Sharife Cooper,"$103,550 ",,19,Quentin Grimes,"$2,385,720 ",,19,James Johnson,"$777,703 ",,19,Ryan Rollins,,,19,Jared Butler,"$1,250,000 ",,19,Seth Lundy,,,,,,,19,Cole Swider,,,19,Cole Swider,,,19,Luka Garza,,,19,Bismack Biyombo,"$754,488 ",,,,,,19,Toumani Camara,"$1,119,563 ",,19,Joey Hauser,,,19,Dylan Windler,,,19,Joshua Primo,,,19,Pat Spencer,,,19,Saben Lee,,,19,Nerlens Noel,"$300,000 ",,19,Gregory Jackson,"$1,991,428 ",,19,Kaiser Gates,,,19,Trevor Hudgins,,,19,Sidy Cissoko,"$1,119,563 ",,19,Dexter Dennis,
22,Brooklyn Nets,26.1,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,,20,Nathan Knight,,,20,Jalen Wilson,,,20,Jahmi'us Ramsey,"$116,075 ",,20,Kai Jones,"$116,075 ",,20,Taj Gibson,"$183,704 ",,20,Henri Drell,,,20,Pete Nance,"$64,343 ",,20,Ryan Arcidiacono,"$2,019,706 ",,20,Nik Stauskas,"$702,311 ",,20,Jaylin Galloway,,,20,Eugene Omoruyi,"$900,000 ",,20,Trent Forrest,,,,,,,20,R.J. Hampton,,,20,R.J. Hampton,,,20,Jaylen Clark,,,20,Jack White,"$600,000 ",,,,,,20,Marcos Louzada Silva,"$268,032 ",,20,Johnny Juzang,,,20,Skylar Mays,,,20,Xavier Moon,,,,,,,20,Udoka Azubuike,,,20,Neemias Queta,"$250,000 ",,20,Isaiah Todd,"$1,836,096 ",,20,Jeremiah Robinson-Earl,,,20,Jermaine Samuels,,,20,Dominick Barlow,"$455,620 ",,20,A.J. Lawson,
23,Utah Jazz,25.1,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,,21,Drew Peterson,,,21,Keon Johnson,,,21,Malik Williams,"$64,343 ",,21,D.J. Wilson,"$116,075 ",,21,DaQuan Jeffries,"$116,075 ",,21,Andrew Funk,,,21,Craig Porter,,,21,Stanley Umude,"$538,460 ",,21,Juwan Morgan,"$576,230 ",,,,,,21,Hamidou Diallo,"$116,075 ",,21,Vit Krejci,,,,,,,21,Alondes Williams,,,21,Alondes Williams,,,21,Daishen Nix,,,21,Mike Muscala,"$510,730 ",,,,,,21,Ashton Hagans,"$103,550 ",,21,Josh Christopher,,,21,,,,,,,,,,,,21,Théo Maledon,,,21,Juan Toscano-Anderson,"$116,075 ",,21,Kennedy Chandler,"$1,719,864 ",,21,Dereon Seabron,,,21,Jeenathan Williams,,,21,Lamar Stevens,"$400,000 ",,21,Brandon Williams,
24,San Antonio Spurs,23,22,60,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,,,,,,22,Jaylen Martin,,,22,Mouhamadou Gueye,"$64,343 ",,22,Ricky Council,,,22,Mamadi Diakite,"$116,075 ",,22,Onuralp Bitim,,,22,Isaiah Mobley,,,22,Taj Gibson,"$348,225 ",,22,Malik Fitts,"$555,217 ",,,,,,22,Justin Champagnie,"$116,075 ",,22,,,,,,,,,,,,,,,,,,,,22,Keyontae Johnson,,,,,,,22,Taze Moore,"$64,343 ",,22,Micah Potter,,,,,,,,,,,,,,,22,Ish Wainright,,,22,Keon Ellis,,,22,Kenneth Lofton,"$1,719,864 ",,22,Malcolm Hill,,,22,Nate Hinton,,,22,Sir'Jabari Rice,,,22,Alex Fudge,
25,Toronto Raptors,25.9,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,,,,,,23,Jacob Gilyard,,,23,D.J. Carton,"$64,343 ",,23,Kenneth Lofton,,,23,DaQuan Jeffries,"$116,075 ",,23,Adama Sanogo,,,23,Emoni Bates,,,23,Chimezie Metu,"$215,781 ",,23,James Johnson,"$183,704 ",,,,,,23,R.J. Hampton,"$116,075 ",,,,,,,,,,,,,,,,,,,,,,23,Olivier Sarr,,,,,,,23,Taze Moore,"$6,434 ",,23,Jason Preston,,,,,,,,,,,,,,,,,,,23,Jalen Slawson,,,23,Wenyen Gabriel,"$116,075 ",,23,Matt Ryan,,,,,,,23,Dominick Barlow,,,,,
26,Memphis Grizzlies,24.4,27,55,24,58,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,,,,,,,,,,24,Malik Williams,"$12,869 ",,24,Javonte Smart,,,24,Jacob Toppin,"$64,343 ",,,,,,24,,,,24,Jaylen Nowell,"$116,075 ",,24,James Johnson,"$183,704 ",,,,,,24,Trey Jemison,"$64,343 ",,,,,,,,,,,,,,,,,,,,,,24,Lindy Waters,,,,,,,24,Duop Reath,,,,,,,,,,,,,,,,,,,,,,,24,Jordan Ford,,,24,Shaquille Harrison,"$116,075 ",,,,,,,,,,24,Seth Millner,,,,,
27,Detroit Pistons,23.8,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,,,,,,,,,,25,D.J. Carton,,,25,Terquavion Smith,,,25,Duane Washington,,,,,,,,,,,25,Chimezie Metu,"$116,075 ",,25,Isaiah Wong,,,,,,,25,Eugene Omoruyi,,,,,,,,,,,,,,,,,,,,,,,25,Adam Flagler,,,,,,,25,Jamaree Bouyea,,,,,,,,,,,,,,,,,,,,,,,25,Mason Jones,,,25,Jordan Goodwin,"$116,075 ",,,,,,,,,,25,Charles Bediako,,,,,
28,Washington Wizards,24.9,15,67,20,62,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,,,,,,,,,,26,Mouhamadou Gueye,,,26,Ricky Council,,,26,Jacob Toppin,,,,,,,,,,,Rk,,Salary,,26,Oscar Tshiebwe,,,,,,,26,Jared Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,John Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,Rk,,Salary,,,,,,,,,,26,David Duke,,,,,
29,Portland Trail Blazers,24.1,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,,,,,,,,,,27,Jontay Porter,,,,,,,27,Dmytro Skapintsev,,,,,,,,,,,26,Taj Gibson,"$116,075 ",,27,Kendall Brown,,,,,,,27,John Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Ibou Badji,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Jaylen Nowell,"$116,075 ",,,,,,,,,,27,Mamadi Diakite,,,,,
30,Charlotte Hornets,25.1,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,,,,,,,,,,28,Javon Freeman-Liberty,,,,,,,28,Jaylen Martin,,,,,,,,,,,27,Tosan Evbuomwan,"$70,777 ",,28,Quenton Jacks,,,,,,,28,Jules Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Skylar Mays,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Jaylen Nowell,"$116,075 ",,,,,,,,,,28,Jamaree Bouyea,,,,,
,League Average,26.6,,,41,41,0,0,0,115.3,115.3,,98.5,0.244,0.395,0.58,,,,,,,,,,29,Ron Harper,,,,,,,29,Duane Washington,,,,,,,,,,,28,Jaylen Nowell,"$24,885 ",,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Justin Minaya,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Zavier Simpson,"$103,550 ",,,,,,,,,,29,RaiQuan Gray,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,30,Markquis Nowell,,,,,,,30,Charlie Brown,,,,,,,,,,,29,Tosan Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Ashton Hagans,,,,,,,,,,,,,,,,,,,,,,,,,,,29,DeJon Jarreau,"$103,550 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Nathan Knight,,,,,,,,,,,30,Buddy Boeheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,DeJon Jarreau,"$103,550 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Jacob Toppin,,,,,,,,,,,31,Stanley Umude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Mãozinha Pereira,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Jaylen Martin,,,,,,,,,,,32,Jared Rhoden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Matthew Hurt,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Malcolm Cazalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Trey Jemison,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Tosan Evbuomwan,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Matthew Hurt,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Mãozinha Pereira,"$64,343 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Zavier Simpson,"$62,130 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Jack White,"$62,130 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Timmy Allen,"$57,908 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Gregory Jackson,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Jordan Goodwin,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Trey Jemison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Scotty Pippen,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Vince Williams,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Jacob Gilyard,,,,,,,,,,,,,,,,,
