Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,,,Salaries,,
11,Golden State Warriors,28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,,9,Jaden Springer,"$2,226,240 ",,9,Dariq Miller-Whitehead,"$2,966,040 ",,9,Gradey Dick,"$4,536,720 ",,9,Kyle Lowry,"$2,795,839 ",,9,Isaiah Hartenstein,"$9,245,121 ",,9,Jevon Carter,"$6,190,476 ",,9,Dean Wade,"$5,709,877 ",,9,Isaiah Stewart,"$5,266,713 ",,9,Tyrese Haliburton,"$5,808,435 ",,9,Thanasis Antetokounmpo,"$2,019,706 ",,9,Deni Avdija,"$6,263,188 ",,9,Kobe Bufkin,"$4,094,280 ",,9,Anthony Black,"$7,245,480 ",,9,Josh Richardson,"$2,891,467 ",,9,Josh Richardson,"$2,891,467 ",,9,Jaden McDaniels,"$3,901,399 ",,9,Cason Wallace,"$5,291,400 ",,9,Julian Strawther,"$2,431,080 ",,9,Kris Murray,"$2,847,480 ",,9,Keyonte George,"$3,889,800 ",,9,Jalen Hood-Schifino,"$3,695,040 ",,9,Russell Westbrook,"$3,835,738 ",,9,Moses Moody,"$3,918,480 ",,9,Josh Okogie,"$2,815,937 ",,9,Davion Mitchell,"$5,063,640 ",,9,Desmond Bane,"$3,845,083 ",,9,Trey Murphy,"$3,359,280 ",,9,John Wall,"$6,802,950 ",,9,Cedi Osman,"$6,718,842 ",,9,Dwight Powell,"$4,000,000 "
12,Milwaukee Bucks*,30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,,10,Oshae Brissett,"$2,165,000 ",,10,Keita Bates-Diop,"$2,346,614 ",,10,Jalen McDaniels,"$4,516,000 ",,10,Jeff Dowtin,"$2,196,970 ",,10,Precious Achiuwa,"$4,379,527 ",,10,Derrick Jones,"$3,360,000 ",,10,Ricky Rubio,"$3,695,311 ",,10,Shake Milton,"$5,000,000 ",,10,Aaron Nesmith,"$5,634,257 ",,10,Jae Crowder,"$2,019,706 ",,10,Johnny Davis,"$5,050,800 ",,10,AJ Griffin,"$3,712,920 ",,10,Cole Anthony,"$5,539,771 ",,10,Thomas Bryant,"$2,528,233 ",,10,Thomas Bryant,"$2,528,233 ",,10,Wendell Moore,"$2,421,720 ",,10,Aleksej Pokusevski,"$5,009,633 ",,10,Peyton Watson,"$2,303,520 ",,10,Andrew Nicholson,"$2,844,430 ",,10,Walker Kessler,"$2,831,160 ",,10,Christian Wood,"$2,709,849 ",,10,Amir Coffey,"$3,666,667 ",,10,Brandin Podziemski,"$3,352,440 ",,10,Keon Johnson,"$2,808,720 ",,10,Chris Duarte,"$4,124,400 ",,10,Jake LaRavia,"$3,199,920 ",,10,Cody Zeller,"$2,019,706 ",,10,Jae'Sean Tate,"$6,500,000 ",,10,Cameron Payne,"$6,500,000 ",,10,Dante Exum,"$3,000,000 "
13,Cleveland Cavaliers*,26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,,11,Svi Mykhailiuk,"$2,019,706 ",,11,Cam Thomas,"$2,240,160 ",,11,Immanuel Quickley,"$4,171,548 ",,11,Mohamed Bamba,"$2,019,706 ",,11,Dylan Windler,"$2,019,706 ",,11,Andre Drummond,"$3,360,000 ",,11,Damian Jones,"$2,586,665 ",,11,Jalen Duren,"$4,330,680 ",,11,Furkan Korkmaz,"$5,370,370 ",,11,Patrick Beverley,"$2,019,706 ",,11,Corey Kispert,"$3,722,040 ",,11,Jalen Johnson,"$2,925,360 ",,11,Franz Wagner,"$5,508,720 ",,11,Nikola Jović,"$2,352,000 ",,11,Nikola Jović,"$2,352,000 ",,11,Jordan McLaughlin,"$2,320,000 ",,11,Ousmane Dieng,"$4,798,440 ",,11,Vlatko Čančar,"$2,234,359 ",,11,Dalano Banton,"$2,019,706 ",,11,Omer Yurtseven,"$2,800,000 ",,11,Jaxson Hayes,"$2,165,000 ",,11,Kobe Brown,"$2,413,320 ",,11,Dario Šarić,"$2,019,706 ",,11,David Roddy,"$2,718,240 ",,11,Robin Lopez,"$2,019,706 ",,11,Derrick Rose,"$3,196,448 ",,11,Naji Marshall,"$1,930,681 ",,11,Alperen Sengun,"$3,536,280 ",,11,Devin Vassell,"$5,887,899 ",,11,Olivier-Maxence Prosper,"$2,733,720 "
14,Dallas Mavericks*,26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,,12,Xavier Tillman,"$1,930,681 ",,12,Day'Ron Sharpe,"$2,210,040 ",,12,Ochai Agbaji,"$4,114,200 ",,12,Montrezl Harrell,"$2,019,706 ",,12,Jericho Sims,"$1,927,896 ",,12,Dalen Terry,"$3,350,760 ",,12,Ty Jerome,"$2,439,025 ",,12,Danuel House,"$4,310,250 ",,12,Jalen Smith,"$5,043,773 ",,12,A.J. Green,"$1,901,769 ",,12,Tristan Vukcevic,"$2,424,892 ",,12,Bruno Fernando,"$2,581,522 ",,12,Chuma Okeke,"$5,266,713 ",,12,Haywood Highsmith,"$1,902,137 ",,12,Haywood Highsmith,"$1,902,137 ",,12,Leonard Miller,"$1,800,000 ",,12,Jalen Williams,"$4,558,680 ",,12,DeAndre Jordan,"$2,019,706 ",,12,Moses Brown,"$2,019,706 ",,12,Kris Dunn,"$2,586,665 ",,12,Cam Reddish,"$2,165,000 ",,12,Bones Hyland,"$2,306,400 ",,12,Trayce Jackson-Davis,"$1,119,563 ",,12,Damion Lee,"$2,528,233 ",,12,JaVale McGee,"$2,019,706 ",,12,Josh Christopher,"$2,485,200 ",,12,Jose Alvarado,"$1,836,096 ",,12,Tari Eason,"$3,527,160 ",,12,Jeremy Sochan,"$5,316,960 ",,12,JaVale McGee,"$2,348,324 "
15,Orlando Magic*,24,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,,13,Sam Hauser,"$1,927,896 ",,13,Dennis Smith,"$2,019,706 ",,13,Jordan Nwora,"$3,000,000 ",,13,Cameron Payne,"$2,019,706 ",,13,Miles McBride,"$1,836,096 ",,13,Torrey Craig,"$2,528,233 ",,13,Tristan Thompson,"$2,019,706 ",,13,Troy Brown,"$4,000,000 ",,13,Isaiah Jackson,"$2,696,280 ",,13,Chris Livingston,"$1,119,563 ",,13,Patrick Baldwin,"$2,337,720 ",,13,Wesley Matthews,"$2,019,706 ",,13,Jett Howard,"$5,026,800 ",,13,Dru Smith,"$1,801,769 ",,13,Dru Smith,"$1,801,769 ",,13,Josh Minott,"$1,719,864 ",,13,Usman Garuba,"$2,588,400 ",,13,Justin Holiday,"$2,019,706 ",,13,Duop Reath,"$1,951,220 ",,13,Brice Sensabaugh,"$2,448,600 ",,13,Max Christie,"$1,719,864 ",,13,Brandon Boston,"$1,836,096 ",,13,Gui Santos,"$1,029,483 ",,13,Drew Eubanks,"$2,346,614 ",,13,Alex Len,"$2,019,706 ",,13,John Konchar,"$2,400,000 ",,13,E.J. Liddell,"$1,801,769 ",,13,Cam Whitmore,"$3,218,160 ",,13,Joshua Primo,"$4,341,600 ",,13,Derrick Jones,"$2,019,706 "
16,Miami Heat*,28,46,36,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,,14,Jordan Walsh,"$1,119,563 ",,14,Harry Giles,"$2,019,706 ",,14,Garrett Temple,"$2,019,706 ",,14,Kelly Oubre,"$2,019,706 ",,14,DaQuan Jeffries,"$831,385 ",,14,Terry Taylor,"$2,019,706 ",,14,Sam Merrill,"$1,997,238 ",,14,Malachi Flynn,"$3,873,025 ",,14,Ben Sheppard,"$2,537,160 ",,14,Andre Jackson,"$1,119,563 ",,14,Taj Gibson,"$2,019,706 ",,14,Garrison Mathews,"$2,000,000 ",,14,Goga Bitadze,"$2,066,585 ",,14,Orlando Robinson,"$1,801,769 ",,14,Orlando Robinson,"$1,801,769 ",,14,T.J. Warren,"$220,543 ",,14,TyTy Washington,"$2,320,440 ",,14,Jalen Pickett,"$1,708,143 ",,14,Ish Wainright,"$1,927,896 ",,14,Luka Šamanić,"$2,066,585 ",,14,Spencer Dinwiddie,"$1,554,654 ",,14,Joshua Primo,"$1,764,341 ",,14,Lester Quinones,"$548,815 ",,14,Bol Bol,"$2,019,706 ",,14,Colby Jones,"$2,019,706 ",,14,Yuta Watanabe,"$2,346,614 ",,14,Matt Ryan,"$1,500,000 ",,14,Aaron Holiday,"$2,019,706 ",,14,Malaki Branham,"$3,071,880 ",,14,Markieff Morris,"$2,019,706 "
17,Sacramento Kings,26.4,46,36,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,,15,Demetrius Jackson,"$92,857 ",,15,Trendon Watford,"$2,019,706 ",,15,Christian Koloko,"$1,719,864 ",,15,KJ Martin,"$1,930,681 ",,15,Taj Gibson,"$477,630 ",,15,Julian Phillips,"$1,600,000 ",,15,Craig Porter,"$1,500,000 ",,15,Mike Muscala,"$3,500,000 ",,15,James Johnson,"$2,241,188 ",,15,Danilo Gallinari,"$661,628 ",,15,Anthony Gill,"$1,997,238 ",,15,Mouhamed Gueye,"$1,119,563 ",,15,Caleb Houstan,"$2,000,000 ",,15,Delon Wright,"$661,628 ",,15,Delon Wright,"$661,628 ",,15,Luka Garza,"$127,683 ",,15,Jaylin Williams,"$2,000,000 ",,15,Hunter Tyson,"$1,119,563 ",,15,Skylar Mays,"$1,799,163 ",,15,Kevin Knox,"$1,845,593 ",,15,Maxwell Lewis,"$1,119,563 ",,15,Daniel Theis,"$1,741,126 ",,15,Usman Garuba,"$11,608 ",,15,Thaddeus Young,"$638,413 ",,15,Kessler Edwards,"$1,927,896 ",,15,Vince Williams,"$2,232,308 ",,15,Jeremiah Robinson-Earl,"$684,843 ",,15,Boban Marjanović,"$2,019,706 ",,15,Julian Champagnie,"$3,000,000 ",,15,Jaden Hardy,"$1,719,864 "
18,Houston Rockets,25.1,41,41,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,,16,Neemias Queta,"$81,253 ",,16,Lonnie Walker,"$2,019,706 ",,16,Javon Freeman-Liberty,"$289,542 ",,16,Ricky Council,"$864,353 ",,16,Shake Milton,"$475,908 ",,16,Onuralp Bitim,"$500,000 ",,16,Marcus Morris,"$197,328 ",,16,Simone Fontecchio,"$3,044,872 ",,16,Andrew Nembhard,"$2,131,905 ",,16,TyTy Washington,,,16,Isaiah Livers,"$1,836,096 ",,16,Jarkel Joiner,"$1,119,563 ",,16,Admiral Schofield,,,16,Patty Mills,"$464,300 ",,16,Patty Mills,"$464,300 ",,16,Justin Jackson,"$116,075 ",,16,Isaiah Joe,"$1,997,238 ",,16,Braxton Key,,,16,Jabari Walker,"$1,719,864 ",,16,Kenneth Lofton,"$500,000 ",,16,Colin Castleton,,,16,Kai Jones,"$11,608 ",,16,Lester Quinones,,,16,Isaiah Thomas,"$116,075 ",,16,Keon Ellis,"$683,430 ",,16,Santi Aldama,"$2,194,200 ",,16,Malcolm Hill,"$116,075 ",,16,Reggie Bullock,"$2,019,706 ",,16,Charles Bassey,"$2,600,000 ",,16,A.J. Lawson,"$1,000,000 "
19,Los Angeles Lakers*,28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,,17,JD Davison,,,17,Jordan Goodwin,"$1,927,896 ",,17,Kobi Simmons,"$116,075 ",,17,Danny Green,"$200,000 ",,17,DaQuan Jeffries,"$261,293 ",,17,Javonte Green,"$127,683 ",,17,Zhaire Smith,"$139,290 ",,17,Dewayne Dedmon,"$2,748,674 ",,17,Cory Joseph,"$2,019,706 ",,17,Marques Bolden,,,17,Xavier Cooks,"$1,719,864 ",,17,Trent Forrest,"$533,945 ",,17,Trevelin Queen,,,17,Jamaree Bouyea,,,17,Jamaree Bouyea,,,17,T.J. Warren,"$116,075 ",,17,Aaron Wiggins,"$1,836,096 ",,17,Jay Huff,,,17,Eric Bledsoe,"$1,300,000 ",,17,Darius Bazley,"$500,000 ",,17,D'Moi Hodge,,,17,Moussa Diabaté,,,17,Usman Garuba,,,17,Isaiah Thomas,"$116,075 ",,17,Filip Petrušev,"$559,782 ",,17,Chimezie Metu,"$2,019,706 ",,17,Jalen Crutcher,"$64,343 ",,17,Jeremiah Robinson-Earl,"$1,900,000 ",,17,Blake Wesley,"$2,504,640 ",,17,Mike Miles,
20,Chicago Bulls,28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,,18,Jay Scrubb,,,18,Jalen Wilson,"$850,000 ",,18,Jahmi'us Ramsey,"$116,075 ",,18,Jeff Dowtin,"$127,683 ",,18,Mamadi Diakite,"$252,525 ",,18,Javonte Green,"$116,075 ",,18,Marcus Morris,"$116,075 ",,18,Marcus Sasser,"$2,624,040 ",,18,Kendall Brown,"$1,100,000 ",,18,Lindell Wigginton,,,18,Ryan Rollins,"$1,719,864 ",,18,Miles Norris,,,18,,,,18,Jamal Cain,,,18,Jamal Cain,,,18,T.J. Warren,"$116,075 ",,18,Lindy Waters,"$766,095 ",,18,Collin Gillespie,,,18,Rayan Rupert,"$1,119,563 ",,18,Taevion Kinsey,"$64,343 ",,18,Alex Fudge,,,18,Jordan Miller,,,18,Jerome Robinson,,,18,Isaiah Thomas,"$69,645 ",,18,Juan Toscano-Anderson,"$323,506 ",,18,Lamar Stevens,"$2,019,706 ",,18,Izaiah Brockington,"$64,343 ",,18,Darius Days,,,18,Sandro Mamukelashvili,"$2,019,706 ",,18,Greg Brown,
